forecast_base_date,date,index,ticker,horizon_trading_days,actual_close,predicted_close,naive_previous_close,actual_log_return,predicted_log_return,absolute_error,pct_error,target_open,target_raw_close,predicted_return,actual_close_to_close_return,actual_open_to_close_return,signal,trade_cost,strategy_close_to_close_return,strategy_open_to_close_return,benchmark_close_to_close_return,benchmark_open_to_close_return,strategy_close_to_close_equity,strategy_open_to_close_equity,benchmark_close_to_close_equity,benchmark_open_to_close_equity,threshold_bps,cost_bps
2026-01-26,2026-01-27,SP500,^GSPC,1,6978.5996,6956.5337,6950.23,0.0040735374,0.00090657035,22.065918,0.31619406,6965.9599609375,6978.60009765625,0.0009069771791725412,0.004081821752661474,0.0018145577622654674,0,0.0,0.0,0.0,0.004081821752661474,0.0018145577622654674,1.0,1.0,1.0194433575962212,1.0078692401051743,15.0,2.0
2026-01-27,2026-01-28,SP500,^GSPC,1,6978.03,6984.8145,6978.6,-8.1721315e-05,0.00089005724,6.784668,0.097229,7002.0,6978.02978515625,0.000890508124838707,-8.16782735792998e-05,-0.003423338309590074,0,0.0,-0.0,-0.0,-8.16782735792998e-05,-0.003423338309590074,1.0,1.0,1.019360091222761,1.0044189627244648,15.0,2.0
2026-01-28,2026-01-29,SP500,^GSPC,1,6969.01,6984.226,6978.03,-0.0012934821,0.0008876274,15.216309,0.21834248,6977.740234375,6969.009765625,0.0008879296878918641,-0.0012926284352460238,-0.0012511885591541816,0,0.0,-0.0,-0.0,-0.0012926284352460238,-0.0012511885591541816,1.0,1.0,1.0180424373830914,1.0031622452097064,15.0,2.0
2026-01-29,2026-01-30,SP500,^GSPC,1,6939.03,6975.337,6969.01,-0.0043111853,0.0009075155,36.30713,0.5232306,6947.27001953125,6939.02978515625,0.0009078764415606511,-0.004301902278802894,-0.0011861111417627024,0,0.0,-0.0,-0.0,-0.004301902278802894,-0.0011861111417627024,1.0,1.0,1.0136629183017951,1.0019723832936676,15.0,2.0
2026-01-30,2026-02-02,SP500,^GSPC,1,6976.44,6945.5474,6939.03,0.0053767595,0.00093884696,30.892578,0.44281292,6916.64013671875,6976.43994140625,0.0009392379050099375,0.005391243444688998,0.008645788056839576,0,0.0,0.0,0.0,0.005391243444688998,0.008645788056839576,1.0,1.0,1.019127821865214,1.010635224158431,15.0,2.0
2026-02-02,2026-02-03,SP500,^GSPC,1,6917.81,6983.027,6976.44,-0.008439469,0.00094373384,65.2168,0.9427376,6985.4501953125,6917.81005859375,0.0009441778328203032,-0.008403999747722213,-0.009683003217765274,0,0.0,-0.0,-0.0,-0.008403999747722213,-0.009683003217765274,1.0,1.0,1.0105630719073622,1.0008492400309181,15.0,2.0
2026-02-03,2026-02-04,SP500,^GSPC,1,6882.72,6924.5205,6917.81,-0.0050853235,0.0009695608,41.800293,0.6073223,6924.5,6882.72021484375,0.0009700324235559776,-0.005072414535814085,-0.006033617612282494,0,0.0,-0.0,-0.0,-0.005072414535814085,-0.006033617612282494,1.0,1.0,1.0054370770920624,0.994810498429028,15.0,2.0
2026-02-04,2026-02-05,SP500,^GSPC,1,6798.4,6889.652,6882.72,-0.012326682,0.0010065698,91.25195,1.3422563,6837.39013671875,6798.39990234375,0.0010071599600158798,-0.01225097054652824,-0.0057025025039322275,0,0.0,-0.0,-0.0,-0.01225097054652824,-0.0057025025039322275,1.0,1.0,0.9931194970742201,0.9891375890707984,15.0,2.0
2026-02-05,2026-02-06,SP500,^GSPC,1,6932.2993,6805.578,6798.4,0.019504307,0.001055319,126.72119,1.8279821,6816.740234375,6932.2998046875,0.0010558366674513486,0.019695707813603303,0.016952321247297064,0,0.0,0.0,0.0,0.019695707813603303,0.016952321247297064,1.0,1.0,1.0126796885125866,1.0059057672385034,15.0,2.0
2026-02-06,2026-02-09,SP500,^GSPC,1,6964.8203,6939.4424,6932.3,0.004680155,0.0010297581,25.37793,0.36437306,6917.259765625,6964.81982421875,0.0010303074015838298,0.004691127042972809,0.006875563475308155,0,0.0,0.0,0.0,0.004691127042972809,0.006875563475308155,1.0,1.0,1.0174302975852372,1.0128219361913304,15.0,2.0
